file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
gigans_iii_Wobj.mat,165.2872135,1.608467849,3.227430349,0.604422407,0.63257823,64,0.673365248,0.357041401,0.530234375,5.159381867,12.47089353,3.06571966,3.912705661,-257.9306907,292.7540155,2.502281058
homage to my hips_Wobj.mat,285.7550282,1.249961831,3.859432027,1.449760794,1.303252351,39,0.626908857,0.350667095,0.559358974,4.919529883,13.00459082,3.170363702,11.56891032,232.6900653,267.0074073,3.503639097
last cucumber from the garden in conversation w_ julie ezelle patton by giovanni singleton_Wobj.mat,142.9717338,1.854320063,3.316134423,1.202545831,1.561279492,43,0.969778981,0.413396482,0.42627907,7.245610901,13.00909048,4.583957917,4.298122739,156.578578,159.1632481,3.348141467
my lover is a woman_Wobj.mat,171.1764363,0.854334431,3.489873652,1.703171995,2.181505416,152,1.015771184,0.309075114,0.304276316,7.501947024,14.27392785,2.384724882,4.606127284,167.6951645,153.3189858,3.542927202
october 16 1917 montgomery county MS_Wobj.mat,239.105796,2.249995835,4.080237644,0.696771571,0.74580884,84,0.686162392,0.238400588,0.347440476,5.359056368,12.15811928,2.739073255,4.284846622,210.9032745,269.4705845,2.776978062
original sin_Wobj.mat,166.6730062,0.708900815,3.05407565,0.793003327,0.971868258,200,0.922126424,0.456867537,0.49545,6.960333337,13.58800591,3.19607143,3.22440843,116.6259547,108.7512768,2.686839648
philosophically immune_Wobj.mat,191.1912037,1.354266513,4.08806367,1.5337768,1.674024729,101,0.955986749,0.228064363,0.238564356,7.206993435,16.78668162,2.31167714,3.24195167,197.0242965,246.1611477,3.650580648
question marks_Wobj.mat,181.4666683,1.104261934,3.687057229,1.075764994,1.198303156,94,0.944628681,0.353984524,0.374734043,7.318651586,13.79813977,2.726556473,3.045589168,168.020227,203.5366624,3.0661012
suicide note 10 wet condoms_Wobj.mat,160.5281957,0.666624153,3.169719953,0.813811345,0.858197072,99,0.821133828,0.339609339,0.413585859,6.157723741,13.59758958,3.441080914,3.879947951,189.6712018,178.9676629,2.781499193
the gigans- v_Wobj.mat,157.1578501,1.458346863,3.083870959,0.513112341,0.633685009,48,0.639701473,0.366162458,0.572395833,4.899337273,12.81082806,2.865650103,3.975675344,-270.2047447,336.2553181,2.355367053
won_t you celebrate with me_Wobj.mat,240.5161057,1.848863911,4.064915274,1.603140026,1.532138708,32,0.546261523,0.27816661,0.50921875,4.498901671,14.49928418,2.422485515,4.097279588,-205.1482201,233.265594,3.638748704
